Age,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,CD Account,County
61,131,94720,1,2.9,1,0,0,0,Alameda
30,72,94005,1,0.1,1,207,0,0,San Mateo
50,190,90245,3,2.1,3,240,1,0,Los Angeles
29,44,95819,1,0.2,3,0,0,0,Sacramento
41,139,94022,2,8.0,1,0,0,0,Santa Clara
55,29,94005,3,0.1,2,0,0,1,San Mateo
56,131,95616,2,1.2,3,0,1,0,Yolo
28,93,94065,2,0.2,1,0,0,0,San Mateo
31,188,91320,2,4.5,1,455,0,0,Ventura
49,39,90404,3,1.7,2,0,0,0,Los Angeles
47,125,93407,1,5.7,1,112,0,0,San Luis Obispo
42,22,90089,1,1.0,1,0,0,0,Los Angeles
42,32,94523,4,0.0,2,0,0,0,Contra Costa
47,105,90024,2,3.3,1,0,0,0,Los Angeles
59,131,91360,1,3.8,1,0,0,0,Ventura
62,105,95670,2,2.8,1,336,0,0,Sacramento
53,45,95123,4,2.0,3,132,0,0,Santa Clara
47,60,93407,3,2.1,1,0,0,0,San Luis Obispo
53,20,90045,4,0.2,1,0,0,0,Los Angeles
42,115,91335,1,3.5,1,0,0,0,Los Angeles
53,69,93907,4,1.0,2,0,0,0,Monterey
44,130,92007,1,5.0,1,0,0,0,San Diego
41,85,94606,1,4.0,3,0,0,0,Alameda
28,135,94611,2,3.3,1,0,0,0,Alameda
31,135,94901,4,3.8,2,0,1,1,Marin
58,12,91320,3,0.3,3,0,0,0,Ventura
46,29,92220,3,0.5,2,0,0,0,Riverside
54,133,93305,2,2.6,3,0,1,0,Kern
50,19,94720,2,0.4,1,118,0,0,Alameda
60,41,95134,4,1.3,1,174,0,0,Santa Clara
47,40,94612,3,2.7,2,0,0,0,Alameda
41,82,92507,1,4.0,3,0,0,0,Riverside
33,50,94305,1,2.4,2,0,0,0,Santa Clara
46,18,91730,1,0.9,3,0,0,0,San Bernardino
27,109,94005,4,1.8,3,0,0,0,San Mateo
40,42,94501,4,2.2,2,126,0,0,Alameda
48,78,94305,3,1.1,1,0,0,0,Santa Clara
65,51,94117,2,1.1,1,0,0,0,San Francisco
55,118,90277,4,5.6,2,0,1,0,Los Angeles
35,29,94105,4,1.1,3,0,0,0,San Francisco
43,34,94305,3,0.6,2,0,0,0,Santa Clara
60,64,94550,2,1.7,3,236,0,0,Alameda
65,121,92612,1,2.0,1,0,0,0,Orange
38,48,95617,4,0.2,3,0,0,0,Yolo
41,80,95014,1,5.2,1,0,0,0,Santa Clara
54,161,92121,1,2.9,1,0,0,0,San Diego
49,94,92374,1,0.3,1,0,0,0,San Bernardino
66,15,91711,3,0.1,3,0,0,0,Los Angeles
48,74,94080,1,1.2,1,0,0,0,San Mateo
61,30,94608,3,1.3,2,0,0,0,Alameda
53,44,93555,3,1.0,3,198,0,0,Kern
43,22,95670,2,0.3,2,0,0,0,Sacramento
56,38,93311,4,1.3,1,166,0,0,Kern
42,43,92037,1,0.7,1,136,0,0,San Diego
33,32,95136,1,0.6,3,166,0,0,Santa Clara
43,49,94542,1,2.8,1,0,0,0,Alameda
41,9,91330,3,1.0,2,0,0,0,Los Angeles
62,45,94143,4,1.3,2,0,0,0,San Francisco
40,82,91775,3,1.0,1,309,0,0,Los Angeles
58,92,92703,2,2.8,1,103,0,0,Orange
39,39,92354,3,0.5,3,0,0,0,San Bernardino
65,81,92024,3,1.8,2,0,0,0,San Diego
54,35,92831,1,1.5,2,0,0,0,Orange
58,61,92833,2,2.3,3,193,0,0,Orange
41,73,92647,3,3.0,1,0,0,0,Orange
32,112,94304,1,4.6,1,366,0,0,Santa Clara
54,12,90057,2,0.2,3,0,0,0,Los Angeles
52,38,91711,3,0.9,3,0,0,0,Los Angeles
58,73,94523,2,0.7,2,0,0,0,Contra Costa
37,84,92130,1,3.6,2,0,0,0,San Diego
39,78,92121,4,2.4,1,118,0,0,San Diego
60,80,91301,3,0.5,1,0,0,0,Los Angeles
31,115,92096,2,1.3,1,101,0,0,San Diego
34,82,92646,1,2.7,2,251,0,0,Orange
38,74,92182,2,0.0,1,0,0,0,San Diego
41,70,92131,3,0.5,3,0,0,0,San Diego
28,81,94801,3,1.5,1,276,0,0,Contra Costa
58,149,93720,4,7.2,2,0,1,1,Fresno
31,51,90840,2,1.75,3,0,0,0,Los Angeles
30,39,90245,3,1.1,2,0,0,0,Los Angeles
53,98,95035,3,1.8,2,0,0,0,Santa Clara
58,45,93010,4,2.1,1,0,0,0,Ventura
59,49,95035,4,2.5,2,0,0,0,Santa Clara
49,128,95054,2,0.4,1,0,0,0,Santa Clara
59,42,94928,3,1.5,1,0,0,1,Sonoma
59,18,93305,1,1.2,3,0,0,0,Kern
51,31,90245,2,0.4,3,161,0,0,Los Angeles
35,58,95831,3,2.0,1,149,0,0,Sacramento
33,48,91770,1,2.1,3,0,0,0,Los Angeles
25,54,94117,4,1.6,1,0,0,0,San Francisco
49,70,92093,2,1.5,2,0,0,0,San Diego
59,124,90007,1,7.4,1,0,0,0,Los Angeles
46,84,94102,1,2.67,2,0,0,0,San Francisco
50,83,94542,4,3.6,3,188,0,0,Alameda
52,163,91423,2,0.4,1,116,0,0,Los Angeles
48,42,93955,3,2.2,2,0,0,0,Monterey
46,118,94107,2,7.5,1,0,0,1,San Francisco
57,24,93117,1,1.3,1,0,0,0,Santa Barbara
60,22,94551,2,1.0,1,0,0,1,Alameda
54,58,92612,4,1.3,3,0,0,0,Orange
41,83,94025,4,2.67,1,0,0,0,San Mateo
32,79,94720,2,1.5,3,0,0,0,Alameda
61,41,94545,4,1.7,2,0,0,0,Alameda
61,80,95053,2,2.8,1,0,0,0,Santa Clara
38,52,90036,1,2.0,1,0,0,0,Los Angeles
28,70,91125,4,2.6,1,0,0,0,Los Angeles
53,92,95120,2,1.1,1,0,0,0,Santa Clara
27,43,94706,1,1.5,1,0,0,0,Alameda
25,21,95827,3,1.0,2,0,0,0,Sacramento
33,23,94305,3,0.9,3,0,0,0,Santa Clara
50,13,91320,4,1.0,1,0,0,0,Ventura
27,112,90503,4,2.1,3,0,0,0,Los Angeles
27,138,90250,2,2.0,1,0,0,0,Los Angeles
52,11,95817,3,0.4,1,0,0,0,Sacramento
58,42,90095,4,1.5,1,0,0,0,Los Angeles
42,168,95503,2,7.9,2,0,1,0,Humboldt
45,85,91711,4,1.1,2,0,0,0,Los Angeles
52,44,93111,3,1.0,2,135,0,0,Santa Barbara
29,65,94132,4,1.8,2,244,0,0,San Francisco
53,24,95818,4,0.2,1,0,0,0,Sacramento
62,11,91942,1,0.1,1,0,0,0,San Diego
51,38,90401,2,1.0,3,164,0,0,Los Angeles
36,10,93524,4,0.7,2,81,0,0,Kern
29,148,92173,3,4.1,1,0,1,0,San Diego
39,115,91320,1,1.0,3,0,0,0,Ventura
48,45,95616,1,0.3,1,0,0,0,Yolo
46,159,94305,3,1.9,3,315,1,0,Santa Clara
64,169,91320,2,2.1,1,122,0,0,Ventura
55,112,94043,2,1.4,1,0,0,0,Santa Clara
60,93,92521,1,4.3,1,0,0,0,Riverside
51,29,90404,1,0.3,3,140,0,0,Los Angeles
50,85,92122,1,2.67,2,0,0,0,San Diego
48,21,93118,4,0.6,1,0,0,0,Santa Barbara
53,144,92697,2,6.8,1,0,0,0,Orange
34,13,94577,4,1.0,1,95,0,0,Alameda
48,165,93407,1,5.0,1,0,0,0,San Luis Obispo
55,9,91345,4,0.7,1,89,0,0,Los Angeles
27,59,94123,4,0.0,1,90,0,0,San Francisco
36,158,92152,1,5.1,3,0,1,1,San Diego
32,29,91355,1,1.9,3,0,0,0,Los Angeles
35,20,94609,2,1.4,3,0,0,0,Alameda
30,68,94306,4,2.0,2,0,0,0,Santa Clara
58,65,95747,4,2.2,1,0,0,0,Placer
56,61,96150,2,1.9,2,105,0,0,El Dorado
38,91,95616,4,1.4,2,100,0,0,Yolo
49,31,91355,1,1.0,1,0,0,0,Los Angeles
34,71,94115,4,0.1,2,0,0,0,San Francisco
40,73,94110,4,2.67,1,0,0,0,San Francisco
64,172,94707,4,3.1,1,282,1,1,Alameda
51,20,92131,2,0.0,1,0,0,0,San Diego
44,55,94720,1,0.2,1,0,0,0,Alameda
46,69,91604,2,1.7,1,209,0,0,Los Angeles
57,155,91326,1,7.4,1,0,0,0,Los Angeles
54,94,90291,1,1.9,2,0,0,0,Los Angeles
38,92,95818,2,0.0,1,249,0,0,Sacramento
27,125,95521,2,0.6,1,0,0,0,Humboldt
39,74,94305,3,3.0,1,0,0,0,Santa Clara
44,72,92807,3,0.3,3,0,0,0,Orange
56,61,94707,1,2.2,3,0,0,0,Alameda
32,25,92130,2,0.3,1,0,0,0,San Diego
45,83,95051,2,1.7,2,0,0,0,Santa Clara
26,104,94306,3,2.5,1,0,0,0,Santa Clara
55,41,95014,3,1.0,3,0,0,0,Santa Clara
52,58,94305,4,1.8,3,91,0,0,Santa Clara
39,93,94720,1,1.5,3,0,0,0,Alameda
47,148,94551,2,7.5,1,0,0,1,Alameda
47,53,92677,4,1.9,3,98,0,1,Orange
48,71,93117,2,1.7,1,145,0,0,Santa Barbara
47,92,94720,1,2.8,2,0,0,0,Alameda
35,61,94304,4,2.1,3,0,0,0,Santa Clara
46,38,94122,3,2.5,2,135,0,0,San Francisco
62,58,91320,4,1.7,1,0,0,0,Ventura
26,80,95616,1,0.8,2,150,0,0,Yolo
38,71,94720,4,1.8,3,0,0,0,Alameda
43,89,93407,3,0.5,3,0,0,0,San Luis Obispo
62,83,92521,1,1.8,3,0,0,0,Riverside
57,28,95831,3,0.2,1,0,0,0,Sacramento
28,52,94112,4,1.7,2,0,0,0,San Francisco
51,70,90089,1,1.2,1,169,0,0,Los Angeles
48,71,91711,1,1.4,3,0,0,0,Los Angeles
41,75,94005,1,3.7,3,280,0,0,San Mateo
65,170,90095,3,7.9,3,99,1,1,Los Angeles
41,78,94025,4,0.8,1,78,0,0,San Mateo
35,25,92614,2,1.0,2,0,0,0,Orange
38,60,94025,2,0.6,3,0,0,0,San Mateo
53,120,92626,4,2.7,2,111,1,1,Orange
55,99,92121,2,1.4,1,264,0,0,San Diego
26,55,90089,3,2.6,3,113,0,0,Los Angeles
30,29,94305,3,1.0,2,117,0,0,Santa Clara
54,170,92182,2,6.2,2,325,1,0,San Diego
65,53,91711,3,2.2,1,0,0,0,Los Angeles
47,138,94583,1,0.0,1,0,0,0,Contra Costa
65,134,91942,3,3.9,3,121,1,0,San Diego
66,42,92103,2,0.7,3,138,0,0,San Diego
66,18,92691,3,0.5,1,0,0,0,Orange
35,24,95747,4,0.3,1,0,0,0,Placer
56,55,94107,1,1.4,1,77,0,0,San Francisco
51,58,92407,1,0.0,1,0,0,0,San Bernardino
42,111,93106,2,1.2,3,251,1,0,Santa Barbara
49,33,90245,1,0.3,3,0,0,1,Los Angeles
27,74,92121,4,1.8,2,112,0,0,San Diego
45,38,90840,2,0.7,1,0,0,0,Los Angeles
49,23,94305,4,0.6,3,98,0,0,Santa Clara
63,61,94720,2,1.5,1,0,0,0,Alameda
47,81,90504,1,2.9,1,138,0,0,Los Angeles
64,129,94002,1,2.5,1,0,0,0,San Mateo
43,33,95039,1,0.75,3,0,0,0,Monterey
60,63,94063,4,2.2,1,0,0,0,San Mateo
40,70,94923,4,1.4,2,0,0,0,Sonoma
29,45,95023,4,0.2,1,158,0,0,San Benito
41,65,90095,3,0.5,3,0,0,0,Los Angeles
30,74,95616,4,2.2,1,0,0,0,Yolo
49,50,94706,4,1.8,3,0,0,0,Alameda
30,22,90058,4,0.5,3,109,0,0,Los Angeles
29,30,92126,4,1.0,3,0,0,0,San Diego
50,21,91125,4,1.0,1,0,0,0,Los Angeles
39,155,94577,2,3.9,1,0,0,0,Alameda
33,64,92121,4,2.1,3,164,0,0,San Diego
57,65,94118,4,2.6,3,0,0,0,San Francisco
34,71,91711,4,0.7,3,0,0,0,Los Angeles
61,40,90029,3,0.5,2,0,0,0,Los Angeles
44,69,92806,3,0.5,3,0,0,0,Orange
40,69,94305,3,2.33,2,0,0,0,Santa Clara
51,45,94806,3,0.6,2,131,0,0,Contra Costa
37,62,92110,3,0.7,2,0,0,0,San Diego
44,172,94306,2,4.3,3,391,1,1,Santa Clara
42,24,92121,3,1.0,2,0,0,0,San Diego
51,80,92373,1,4.9,1,0,0,0,San Bernardino
43,8,90089,3,0.67,2,88,0,0,Los Angeles
30,38,94542,4,0.8,1,129,0,0,Alameda
45,93,90095,4,2.6,3,0,0,0,Los Angeles
35,55,94536,1,2.0,1,0,0,0,Alameda
60,64,94304,2,1.7,3,0,0,0,Santa Clara
34,122,90623,1,0.0,1,0,0,0,Orange
55,70,93720,3,1.4,3,0,0,0,Fresno
43,81,92069,2,3.2,1,0,0,0,San Diego
41,159,90057,1,5.5,3,0,1,1,Los Angeles
34,70,92843,4,1.3,1,0,0,0,Orange
65,150,92120,2,6.9,1,196,0,0,San Diego
45,152,94550,2,7.5,1,0,0,0,Alameda
49,195,95605,4,3.0,1,617,1,0,Yolo
48,22,90740,1,0.1,1,0,0,0,Orange
60,22,91207,1,1.3,1,123,0,0,Los Angeles
55,79,92373,3,0.8,1,0,0,0,San Bernardino
42,33,90401,1,1.4,3,0,0,0,Los Angeles
32,128,94720,2,4.33,1,0,0,1,Alameda
62,91,95929,1,3.8,1,0,0,0,Butte
57,39,90277,4,0.9,1,0,0,0,Los Angeles
52,121,94550,1,7.3,1,167,0,0,Alameda
36,21,91741,1,0.67,3,0,0,0,Los Angeles
34,41,93720,3,2.3,1,0,0,0,Fresno
63,45,93437,2,0.7,3,0,0,0,Santa Barbara
57,165,95054,1,1.6,2,0,1,0,Santa Clara
40,119,91335,2,4.2,2,0,1,0,Los Angeles
27,110,95670,4,1.8,3,190,0,0,Sacramento
65,20,90034,3,0.7,2,0,0,0,Los Angeles
60,64,90266,1,0.8,2,248,0,0,Los Angeles
63,101,92007,1,3.9,1,0,1,1,San Diego
59,99,90034,1,4.4,1,0,1,0,Los Angeles
56,158,90089,4,6.1,1,0,1,0,Los Angeles
54,89,95039,1,1.9,2,0,0,0,Monterey
52,80,95616,1,1.3,3,0,0,1,Yolo
58,114,91330,2,2.0,1,402,0,0,Los Angeles
60,49,94110,3,0.5,2,0,0,0,San Francisco
28,191,90064,1,6.33,1,0,0,0,Los Angeles
54,78,92374,4,1.0,2,0,0,0,San Bernardino
32,28,94115,3,1.0,1,0,0,0,San Francisco
59,42,95630,1,0.8,2,0,0,0,Sacramento
63,140,92407,1,2.5,1,0,0,0,San Bernardino
48,45,95053,1,1.3,2,0,0,0,Santa Clara
56,122,95827,2,0.3,1,360,0,1,Sacramento
36,65,95051,3,2.6,2,0,0,0,Santa Clara
57,68,94117,1,1.4,3,0,0,0,San Francisco
29,153,93657,2,2.0,1,392,0,0,Fresno
39,89,92110,4,1.4,2,0,0,0,San Diego
59,91,93524,1,2.6,1,0,0,0,Kern
31,55,92038,4,2.0,2,185,0,0,San Diego
43,118,91304,2,3.3,1,0,0,0,Los Angeles
35,22,93407,1,0.67,3,103,0,0,San Luis Obispo
54,63,92606,3,1.4,3,138,0,0,Orange
51,12,92192,4,0.5,2,78,0,0,San Diego
44,50,90745,3,2.7,2,0,0,0,Los Angeles
40,173,95060,4,6.6,1,0,1,1,Santa Cruz
26,60,93407,2,3.0,1,132,1,0,San Luis Obispo
39,113,94301,1,1.0,3,0,0,0,Santa Clara
28,155,92182,4,5.3,2,0,1,0,San Diego
52,91,92692,4,1.0,2,0,0,0,Orange
53,55,95818,4,1.1,2,0,0,0,Sacramento
44,173,90277,2,1.4,1,419,0,0,Los Angeles
43,71,92101,3,0.3,3,0,0,0,San Diego
56,24,94704,2,0.4,3,88,0,0,Alameda
38,42,94610,1,2.0,2,81,0,0,Alameda
30,141,94539,2,4.33,1,0,0,0,Alameda
32,32,93106,1,1.9,3,0,0,0,Santa Barbara
35,55,94539,4,1.3,1,0,0,0,Alameda
43,153,90254,2,7.5,1,0,0,0,Los Angeles
58,113,94590,2,1.4,1,270,0,0,Solano
54,29,92028,3,1.0,3,148,0,0,San Diego
57,174,90089,1,6.8,2,466,1,0,Los Angeles
32,98,95054,2,2.0,2,175,0,0,Santa Clara
63,30,92054,2,1.0,3,159,0,0,San Diego
31,58,95051,2,2.5,1,0,0,0,Santa Clara
36,25,92101,4,1.0,1,147,0,0,San Diego
58,19,92029,4,0.7,1,0,0,0,San Diego
56,44,93105,4,0.7,2,174,0,0,Santa Barbara
49,20,90291,4,1.0,1,111,0,0,Los Angeles
30,98,91941,2,3.1,1,220,0,0,San Diego
33,90,92346,3,1.6,1,0,0,0,San Bernardino
45,61,94304,3,0.7,1,0,0,0,Santa Clara
30,40,94402,4,2.0,2,0,0,0,San Mateo
47,38,94618,2,2.1,3,0,0,0,Alameda
63,34,94305,1,1.5,3,0,0,0,Santa Clara
55,73,95616,2,2.3,3,0,0,0,Yolo
65,133,94904,4,2.0,1,0,1,0,Marin
44,53,94608,1,0.2,1,0,0,0,Alameda
35,40,93943,3,0.9,1,0,0,0,Monterey
30,41,95051,4,1.7,2,0,0,0,Santa Clara
31,82,95482,4,1.8,2,0,0,0,Mendocino
54,100,95814,4,3.4,3,0,1,0,Sacramento
45,155,90024,1,7.0,1,0,0,0,Los Angeles
45,45,92521,1,0.2,1,0,0,0,Riverside
58,9,94080,3,0.3,3,0,0,0,San Mateo
54,48,91709,4,1.8,3,0,0,0,San Bernardino
53,18,90095,4,0.1,3,109,0,1,Los Angeles
33,80,91311,4,3.4,1,0,0,0,Los Angeles
60,64,94509,2,2.8,1,0,0,0,Contra Costa
50,29,93023,4,0.1,1,0,0,0,Ventura
26,48,90503,3,0.7,2,0,0,0,Los Angeles
54,23,94608,2,0.4,1,0,0,0,Alameda
28,84,90024,4,0.2,1,0,0,0,Los Angeles
36,179,94542,3,6.6,1,0,1,0,Alameda
29,30,95747,4,1.5,2,112,0,0,Placer
54,93,91604,1,4.9,1,133,0,1,Los Angeles
55,39,92647,2,1.9,2,0,0,0,Orange
61,60,92866,3,0.5,2,182,0,0,Orange
36,133,90245,1,3.8,1,290,0,1,Los Angeles
45,125,92354,1,2.4,1,0,0,0,San Bernardino
64,58,93437,1,1.8,3,0,0,0,Santa Barbara
60,89,91745,2,2.8,1,0,0,0,Los Angeles
49,82,90019,1,2.67,2,125,0,0,Los Angeles
47,110,94111,2,3.3,1,0,0,0,San Francisco
60,54,92182,4,2.3,3,0,0,0,San Diego
45,89,93311,4,1.9,3,0,0,0,Kern
32,42,92407,3,2.3,1,0,0,0,San Bernardino
52,41,94309,3,1.9,2,0,0,0,Santa Clara
35,38,93106,4,1.0,2,124,0,0,Santa Barbara
40,85,94304,2,0.4,1,0,0,0,Santa Clara
53,83,90073,4,1.0,2,0,0,0,Los Angeles
58,50,94501,4,2.1,1,0,0,0,Alameda
47,58,93105,4,3.6,3,0,0,0,Santa Barbara
28,115,92333,4,3.1,2,0,1,0,San Bernardino
46,145,91380,2,6.3,1,0,0,1,Los Angeles
43,161,95616,2,7.5,1,0,0,0,Yolo
56,38,92029,1,0.2,1,0,0,0,San Diego
28,28,90505,4,0.8,1,0,0,0,Los Angeles
42,75,92182,3,2.33,1,0,0,0,San Diego
32,35,92521,3,1.3,1,116,0,0,Riverside
62,24,94720,2,1.0,1,116,0,0,Alameda
37,78,94998,4,0.1,2,0,0,0,Marin
51,113,94086,1,1.3,3,161,0,0,Santa Clara
39,75,94305,3,2.1,1,224,0,0,Santa Clara
43,91,91311,1,5.7,1,0,0,0,Los Angeles
52,31,91330,4,0.2,1,141,0,0,Los Angeles
30,45,95819,1,1.8,2,0,0,0,Sacramento
52,80,94709,3,0.8,1,0,0,0,Alameda
61,50,92122,3,1.4,3,112,0,0,San Diego
36,31,95825,4,1.0,2,0,0,0,Sacramento
58,113,93943,2,3.8,2,119,1,1,Monterey
47,29,94304,4,0.6,1,0,0,0,Santa Clara
64,59,92626,2,1.5,1,139,0,0,Orange
52,43,93555,1,1.3,2,0,0,0,Kern
58,122,95136,1,3.0,3,115,1,0,Santa Clara
48,29,90509,1,1.0,1,0,0,0,Los Angeles
64,91,93106,2,0.0,3,0,0,0,Santa Barbara
58,65,94590,3,2.2,3,0,0,0,Solano
47,22,93108,1,1.0,1,0,0,0,Santa Barbara
49,71,95134,1,1.4,3,0,0,0,Santa Clara
31,60,94588,4,2.0,2,0,0,0,Alameda
61,60,91706,3,2.0,3,0,0,0,Los Angeles
51,69,95747,1,0.3,1,0,0,0,Placer
39,21,94022,3,0.2,2,0,0,0,Santa Clara
54,53,92109,4,2.8,2,0,0,0,San Diego
50,29,94110,3,0.9,3,0,0,0,San Francisco
30,60,91107,4,2.2,2,0,0,0,Los Angeles
64,42,92068,3,0.5,2,116,0,0,San Diego
29,69,94303,3,0.3,3,0,0,0,Santa Clara
48,20,95841,1,1.0,1,0,0,0,Sacramento
35,200,91107,2,3.0,1,458,0,0,Los Angeles
60,141,90277,2,2.1,1,0,0,0,Los Angeles
55,81,92123,2,3.7,1,0,0,0,San Diego
29,183,91423,3,8.3,3,0,1,0,Los Angeles
48,149,94928,2,5.5,2,0,1,1,Sonoma
43,83,94305,4,3.6,3,0,1,0,Santa Clara
66,35,94305,1,1.9,2,172,0,0,Santa Clara
45,39,90232,1,2.4,1,0,0,0,Los Angeles
48,10,94609,2,0.7,3,0,0,0,Alameda
32,84,91006,4,1.8,2,0,0,0,Los Angeles
50,30,91768,4,0.1,1,161,0,0,Los Angeles
43,31,90007,4,0.3,1,156,0,0,Los Angeles
64,182,93955,1,1.2,2,547,1,0,Monterey
60,114,90028,2,6.9,1,0,0,0,Los Angeles
43,152,92008,3,6.1,2,0,1,0,San Diego
64,24,95112,4,0.4,2,78,0,0,Santa Clara
44,150,95060,2,3.3,1,0,0,0,Santa Cruz
60,132,92154,2,6.0,1,470,0,0,San Diego
54,68,94998,3,1.6,3,0,0,0,Marin
33,53,94063,1,1.2,1,0,0,0,San Mateo
56,173,94022,1,4.6,2,88,1,1,Santa Clara
29,30,90095,3,1.0,2,0,0,0,Los Angeles
25,113,95023,2,0.2,1,0,0,0,San Benito
60,15,95014,1,0.8,2,0,0,0,Santa Clara
55,84,92173,2,3.7,1,304,0,0,San Diego
39,88,94117,4,1.4,2,0,0,0,San Francisco
37,43,94122,3,2.8,1,0,0,0,San Francisco
53,43,91380,2,2.1,3,0,0,1,Los Angeles
34,90,94303,2,2.7,1,0,0,0,Santa Clara
42,34,92115,4,0.3,1,104,0,0,San Diego
60,38,94596,4,1.3,1,0,0,0,Contra Costa
50,173,94720,1,1.0,1,0,0,0,Alameda
41,160,92647,2,8.0,1,0,0,0,Orange
50,83,94301,2,0.4,3,0,0,0,Santa Clara
48,94,90623,4,2.6,3,0,0,0,Orange
32,43,95023,1,2.1,3,0,0,0,San Benito
50,42,93108,3,1.7,2,0,0,0,Santa Barbara
59,34,92177,2,0.3,1,0,0,0,San Diego
50,39,90640,3,1.9,2,0,0,0,Los Angeles
44,70,92833,1,0.1,2,0,0,0,Orange
31,39,94022,4,1.8,3,185,0,0,Santa Clara
40,44,94720,3,2.0,3,0,0,0,Alameda
36,69,94305,3,3.1,2,0,1,0,Santa Clara
51,44,94608,3,0.9,3,0,0,0,Alameda
64,32,91380,3,0.1,3,0,0,0,Los Angeles
47,15,95521,2,0.7,3,0,0,0,Humboldt
52,118,90503,2,6.8,1,112,0,0,Los Angeles
51,62,95136,1,1.3,2,221,0,0,Santa Clara
31,82,94143,4,2.2,2,0,0,0,San Francisco
39,54,95035,3,3.0,1,108,0,0,Santa Clara
30,48,94607,1,2.1,3,0,0,0,Alameda
27,74,91730,3,0.3,3,0,0,0,San Bernardino
41,113,92780,1,1.0,3,211,0,0,Orange
53,81,90009,3,1.7,2,0,0,0,Los Angeles
54,43,92834,3,1.0,2,169,0,0,Orange
28,34,92677,1,1.8,2,0,0,0,Orange
34,48,95616,1,2.5,3,105,0,0,Yolo
61,54,90024,4,1.2,2,129,0,0,Los Angeles
48,75,92518,4,1.4,2,0,0,0,Riverside
36,72,91007,1,2.8,1,224,0,0,Los Angeles
56,39,93023,4,0.9,1,0,0,0,Ventura
64,79,94024,2,2.8,1,179,0,0,Santa Clara
26,205,93106,1,6.33,1,271,0,0,Santa Barbara
33,65,90027,2,0.1,1,89,0,0,Los Angeles
64,122,90089,4,0.2,1,378,1,0,Los Angeles
39,82,95207,1,0.8,2,0,0,0,San Joaquin
54,21,91706,2,0.2,1,0,0,0,Los Angeles
32,50,90401,4,2.1,3,0,0,1,Los Angeles
62,39,94305,2,2.8,1,113,0,1,Santa Clara
27,101,92807,1,1.9,1,0,0,0,Orange
53,41,93117,2,0.6,3,0,0,0,Santa Barbara
51,132,94143,1,0.3,1,0,0,0,San Francisco
44,131,90717,1,4.9,3,0,1,0,Los Angeles
31,11,94534,1,0.4,2,76,0,0,Solano
57,21,94720,1,0.3,3,117,0,0,Alameda
30,141,95014,2,4.33,1,0,0,0,Santa Clara
